Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
VMART,EQ,4344.15,0.88,8595.74,0.19,8.35
TASTYBITE,EQ,12240,1.33,3140.78,0.07,8.01
AIAENG,EQ,3925.9,0.48,36636.64,0.2,7.9
TAINWALCHM,EQ,271.2,10.47,253.95,2.83,7.89
GOKULAGRO,EQ,260,0.6,3836.13,3.07,7.78
APOLLOPIPE,EQ,502,0.28,2075.93,1.55,7.68
SVLL,EQ,275,3.79,315.31,2.89,7.67
GRINDWELL,EQ,2195,1.32,24303.04,0.34,7.38
PGINVIT,IV,88.85,0.58,8085.34,7.46,6.59
SUPREMEPWR,ST,258.4,5,645.77,2.41,6.22
IMFA,EQ,656.1,0.36,3539.93,0.95,6.19
PHARMABEES,EQ,22.99,0.04,847.95,26.16,6.01
SARTELE,SM,308.5,1.68,1145.85,1.9,5.87
ACLGATI,EQ,96.01,0.93,1411.52,6.08,5.79
TBOTEK,EQ,1607,1.02,17450.06,0.34,5.38
761GS2030,GS,106.65,4.97,90652.5,5,5.33
VSTTILLERS,EQ,4503,2.32,3890.38,0.12,5.29
ICEMAKE,EQ,807.95,0.42,1274.92,0.65,5.24
AGIIL,EQ,1000,4.99,1221.67,0.51,5.21
759GS2026,GS,103.5,1.47,123165,5,5.17
KSOLVES,EQ,984.1,1.86,1166.75,0.52,4.98
AKZOINDIA,EQ,3750,1.16,17077.62,0.13,4.96
PRIMESECU,EQ,324,2.84,1086.95,1.64,4.94
DREDGECORP,EQ,966,2.47,2704.8,0.5,4.66
SALONA,EQ,302.45,13.7,159.16,1.5,4.63
SUNFLAG,EQ,199.5,0.1,3595.38,2.31,4.58
YASHO,EQ,1880.6,0.08,2143.73,0.25,4.57
DREAMFOLKS,EQ,437.5,0.06,2322.01,1.02,4.4
HIRECT,EQ,1048,0.17,1796.05,0.42,4.26
SIMPLEXINF,BE,241.5,5,1380,1.78,4.21
CGCL,EQ,184.75,2.45,11430.57,2.32,4.21
MUTHOOTMF,EQ,205.49,0.85,3503.44,2.04,4.18
COOLCAPS,ST,771,0.53,891.28,0.55,4.16
FMCGIETF,EQ,62.14,1.47,370.32,6.41,3.97
AXISCADES,EQ,493,0.67,2082.39,0.8,3.87
TCPLPACK,EQ,3120,0.4,2839.2,0.13,3.87
INDOTECH,BE,2177.6,5,2312.61,0.18,3.78
TTKHLTCARE,EQ,1573,1.02,2222.7,0.24,3.77
BHARATWIRE,EQ,238.45,0.82,1632.16,1.52,3.51
EXCELINDUS,EQ,1493.95,0.04,1878,0.24,3.48
HLVLTD,EQ,17.51,2.7,1154.36,20.69,3.47
MAHKTECH,EQ,18.74,1.13,361.52,18.46,3.47
MOMOMENTUM,EQ,71.8,0.97,105.37,4.88,3.39
ATALREAL,EQ,11.31,4.92,125.56,29.88,3.32
CONTROLPR,EQ,807.6,0.96,1291.69,0.41,3.27
INDIGRID,IV,146,1.28,12184.55,2.22,3.24
LOWVOLIETF,EQ,21.71,0.28,3416.34,14.85,3.21
